initialPrice,sector,daysBeatSP,spvalue,priceChange100Days
10.9091,Finance,39,1362.21,0.08333409722158552
21.26,Consumer Services,125,1885.08,-0.3767638758231421
10.7,Consumer Durables,126,2384.2,0.6504672897196263
25.03,Energy,128,1480.94,0.22053535757091489
10.8,Finance,108,1848.38,-0.046296296296296294
22.03,Consumer Durables,134,2153.74,0.5796640944167043
22.0,Consumer Services,105,1692.56,0.1804545454545454
7.52,Health Care,105,1841.07,2.6972074468085108
54.51,Health Care,110,2109.99,-0.09466152999449637
22.12,Technology,125,1998.3,0.8892405063291138
9.0,Consumer Services,107,1349.96,0.2922222222222223
65.0,Health Care,120,1833.08,-0.34
44.0,Technology,118,1667.47,0.6002272727272726
22.2,Health Care,122,1927.11,-0.063063063063063
16.11,Health Care,73,2510.06,0.7815021725636251
50.66,Public Utilities,133,2190.15,-0.0011843663639951672
15.5,Consumer Services,135,2055.47,0.03225806451612903
12.8,Basic Industries,72,2111.73,-0.790625
15.02,Health Care,138,1967.9,0.06524633821571241
27.91,Consumer Services,71,2508.24,0.05696882837692583
12.0,Consumer Services,120,1385.97,0.18333333333333326
22.35,Energy,124,1414.2,0.3646532438478746
16.75,Consumer Services,129,1782.0,0.31343283582089554
12.76,Consumer Services,141,2089.17,0.7029780564263324
21.81,Public Utilities,139,1862.49,0.8491517652453003
6.0,Health Care,95,1515.6,-0.2666666666666666
28.0,Energy,109,1872.83,0.02392857142857149
11.5,Consumer Services,130,1692.09,0.015652173913043455
9.7306,Finance,27,2550.93,0.007132139847491409
10.07,Finance,30,2500.23,0.055610724925521396
18.185,Health Care,92,2419.7,0.4451470992576301
15.04,Health Care,147,1906.13,0.9946808510638299
180.0,Health Care,105,1568.61,0.325
29.01,Health Care,120,1794.19,-0.3809031368493623
9.6,Consumer Services,57,1872.01,0.014583333333333393
24.0,Consumer Non-Durables,110,2092.83,-0.3354166666666667
50.0,Public Utilities,120,2168.27,0.04359999999999999
42.5,Technology,144,2187.02,0.3004705882352942
9.9,Finance,59,2109.79,-0.020202020202020308
9.98,Finance,60,2108.63,0.022044088176352592
10.0,Finance,74,1961.05,0.005990000000000073
19.0,Consumer Services,127,1582.7,-0.1705263157894737
60.0,Health Care,116,1920.24,-0.3983333333333333
24.8,Miscellaneous,117,1989.57,0.08145161290322579
10.11,Health Care,126,1773.43,0.20276953511374884
25.37,Energy,107,1962.87,-0.45762711864406785
11.08,Health Care,107,1923.82,-0.3799638989169675
16.0,Health Care,128,1912.53,0.7549999999999999
18.67,Miscellaneous,134,2384.2,0.20567755757900372
30.7,Energy,102,2268.9,-0.14201954397394134
20.55,Consumer Services,138,1352.46,-0.0681265206812653
11.8201,Health Care,116,1773.43,0.10743563929239176
12.75,Health Care,117,1819.26,0.11764705882352941
10.95,Consumer Services,123,2051.8,-0.10410958904109578
10.88,Technology,130,1759.77,0.30974264705882343
121.95,Health Care,122,1794.19,0.7712177121771218
12.1549,Capital Goods,107,1845.89,0.28888760911237443
9.6,Finance,49,1932.24,0.0
10.06,Finance,42,2108.86,-0.002982107355864924
23.73,Consumer Non-Durables,108,2177.18,0.112937210282343
16.5,Basic Industries,145,1626.67,0.8987878787878787
21.0,Public Utilities,126,1815.69,0.22047619047619044
12.6,Finance,123,1946.16,0.2269841269841271
6.0,Public Utilities,118,2091.48,-0.11166666666666665
7.06,Technology,108,1408.47,-0.254957507082153
33.13,Miscellaneous,126,2094.11,0.29278599456685767
14.31,Health Care,124,1545.8,0.236198462613557
26.5,Finance,125,1994.65,-0.12679245283018867
13.25,Technology,131,1349.96,0.2830188679245283
18.04,Energy,120,1838.7,0.14578713968957888
4.2742,Health Care,54,2053.4,0.7079219503064899
18.6,Health Care,118,1630.74,0.9645161290322579
23.55,Finance,123,2075.0,-0.10870488322717631
31.5,Public Utilities,113,2099.12,-0.28952380952380957
22.58,Public Utilities,146,1331.85,0.2581930912311781
12.0,Transportation,131,1492.56,1.1224999999999998
4.1001,Consumer Services,125,1994.29,0.01948732957732724
9.36,Consumer Services,83,1689.37,0.153846153846154
24.4,Health Care,1,2088.55,0.0
20.3,Finance,114,1756.54,0.1827586206896552
14.45,Health Care,124,1603.26,-0.056747404844290555
15.0,Finance,103,2419.38,0.12199999999999989
13.05,Consumer Services,126,1693.87,0.14559386973180066
9.59,Public Utilities,52,2053.19,0.02189781021897819
28.22,Miscellaneous,113,2104.99,-0.5031892274982283
20.0,Basic Industries,121,2106.85,-0.375
11.76,Technology,132,2139.16,0.613095238095238
67.62,Health Care,114,2052.75,-0.3016858917480036
17.54,Consumer Services,122,2092.83,-0.22177879133409345
24.5,Health Care,131,1685.39,0.44979591836734706
10.55,Health Care,108,1692.77,-0.07393364928909962
20.16,Technology,128,1588.85,0.18402777777777782
18.0,Technology,128,2065.89,-0.11388888888888893
27.19,Health Care,59,2560.4,0.17910996689959546
6.0,Health Care,72,2096.99,-0.3333333333333333
14.8636,Health Care,93,2048.72,-0.13580155547781153
17.495,Energy,144,1428.59,0.27693626750500133
11.32,Consumer Services,53,2564.98,-0.39752650176678445
6.31,Health Care,116,1695.0,-0.049128367670364444
38.0,Technology,117,1295.22,-0.44973684210526316
24.0,Health Care,47,2578.87,-0.049270833333333375
20.0,Finance,131,2139.16,0.258
15.12,Consumer Services,118,2316.1,-0.14947089947089948
19.73,Finance,137,1925.15,0.23922959959452603
16.09,Consumer Services,143,2089.41,0.11124922311995022
15.65,Miscellaneous,127,2023.86,-0.1827476038338659
9.27,Consumer Services,45,2594.38,-0.27939590075512405
18.75,Energy,113,1956.98,-0.04160000000000006
21.63,Energy,124,1387.57,0.0827554322699955
35.28,Technology,131,1709.91,1.0048185941043084
9.0,Finance,113,2017.81,0.062222222222222276
9.6,Finance,80,2173.02,0.03020833333333343
21.48,Health Care,122,2039.82,0.4329608938547486
23.0,Finance,126,2164.25,0.5269565217391303
25.21,Energy,115,1691.42,0.07298690995636652
29.5,Technology,125,2121.24,0.2494915254237288
24.9,Finance,130,1805.09,0.06546184738955833
25.0,Consumer Services,125,1376.51,0.3884
7.18,Technology,111,1865.09,-0.1587743732590529
9.02,Health Care,113,2151.13,0.25831485587583153
14.8,Health Care,123,2021.25,0.34121621621621623
37.33,Technology,129,1953.03,-0.39753549424055723
14.52,Health Care,126,1819.26,-0.03443526170798898
30.07,Health Care,115,1692.77,-0.03624875290987695
15.49,Basic Industries,112,1967.9,-0.5590703679793415
29.37,Consumer Services,134,2388.77,0.3118828736806265
6.935,Consumer Non-Durables,58,2579.85,0.1607786589762078
9.7,Finance,61,2341.59,0.01237113402061866
10.05,Finance,71,2271.31,0.03876616915422883
11.75,Finance,127,1994.99,0.026382978723404296
6.22,Consumer Durables,118,2011.36,0.4758842443729904
17.72,Consumer Non-Durables,117,1697.48,0.023137697516930032
14.9,Finance,111,2399.63,-0.09395973154362418
12.5,Consumer Services,118,1815.69,-0.07280000000000002
13.02,Health Care,128,1725.52,-0.05222734254992317
21.25,Energy,127,2271.31,-0.27905882352941175
12.5,Consumer Services,130,1399.98,0.3103999999999999
18.5032,Consumer Non-Durables,121,2031.92,0.04360326862380556
11.02,Consumer Services,116,1881.14,-0.05989110707803994
10.74,Technology,79,2432.46,-0.48324022346368717
16.24,Capital Goods,118,2141.34,0.18226600985221683
10.06,Finance,49,2473.83,0.021868787276341835
12.9,Finance,3,1690.5,0.0
9.9,Finance,114,1341.47,0.3101010101010101
24.68,Technology,68,2581.07,0.3970826580226903
22.048000000000002,Finance,138,2109.6,0.5021770682148038
31.0,Consumer Services,120,1692.56,0.021290322580645164
99.58,Public Utilities,120,2092.83,0.03785900783289813
45.0,Capital Goods,132,2075.32,0.12200000000000004
4.91,Consumer Non-Durables,61,2500.6,-0.38289205702647666
18.7298,Consumer Services,135,1472.12,0.23801642302640702
24.5125,Consumer Services,130,1963.71,0.08892197858235595
15.75,Health Care,127,1862.49,0.4704761904761905
33.01,Health Care,123,2086.05,-0.048773099060890626
13.75,Consumer Services,116,2124.2,0.2516363636363637
20.0,Basic Industries,133,1903.63,0.2705
25.49,Technology,130,2059.69,0.059238917222440235
20.27,Technology,138,2390.9,0.3576714356191416
